+++ nx-osv-1: executing command 'show vrf all interface' +++
show vrf all interface
Interface                 VRF-Name                        VRF-ID  Site-of-Origin
loopback0                 default                              1  --
loopback1                 default                              1  --
Null0                     default                              1  --
Ethernet2/1               default                              1  --
Ethernet2/2               default                              1  --
Ethernet2/3               default                              1  --
Ethernet2/4               default                              1  --
Ethernet2/5               default                              1  --
Ethernet2/6               default                              1  --
Ethernet2/7               default                              1  --
Ethernet2/8               default                              1  --
Ethernet2/9               default                              1  --
Ethernet2/10              default                              1  --
Ethernet2/11              default                              1  --
Ethernet2/12              default                              1  --
Ethernet2/13              default                              1  --
Ethernet2/14              default                              1  --
Ethernet2/15              default                              1  --
Ethernet2/16              default                              1  --
Ethernet2/17              default                              1  --
Ethernet2/18              default                              1  --
Ethernet2/19              default                              1  --
Ethernet2/20              default                              1  --
Ethernet2/21              default                              1  --
Ethernet2/22              default                              1  --
Ethernet2/23              default                              1  --
Ethernet2/24              default                              1  --
Ethernet2/25              default                              1  --
Ethernet2/26              default                              1  --
Ethernet2/27              default                              1  --
Ethernet2/28              default                              1  --
Ethernet2/29              default                              1  --
Ethernet2/30              default                              1  --
Ethernet2/31              default                              1  --
Ethernet2/32              default                              1  --
Ethernet2/33              default                              1  --
Ethernet2/34              default                              1  --
Ethernet2/35              default                              1  --
Ethernet2/36              default                              1  --
Ethernet2/37              default                              1  --
Ethernet2/38              default                              1  --
Ethernet2/39              default                              1  --
Ethernet2/40              default                              1  --
Ethernet2/41              default                              1  --
Ethernet2/42              default                              1  --
Ethernet2/43              default                              1  --
Ethernet2/44              default                              1  --
Ethernet2/45              default                              1  --
Ethernet2/46              default                              1  --
Ethernet2/47              default                              1  --
Ethernet2/48              default                              1  --
Ethernet3/1               default                              1  --
Ethernet3/2               default                              1  --
Ethernet3/3               default                              1  --
Ethernet3/4               default                              1  --
Ethernet3/5               default                              1  --
Ethernet3/6               default                              1  --
Ethernet3/7               default                              1  --
Ethernet3/8               default                              1  --
Ethernet3/9               default                              1  --
Ethernet3/10              default                              1  --
Ethernet3/11              default                              1  --
Ethernet3/12              default                              1  --
Ethernet3/13              default                              1  --
Ethernet3/14              default                              1  --
Ethernet3/15              default                              1  --
Ethernet3/16              default                              1  --
Ethernet3/17              default                              1  --
Ethernet3/18              default                              1  --
Ethernet3/19              default                              1  --
Ethernet3/20              default                              1  --
Ethernet3/21              default                              1  --
Ethernet3/22              default                              1  --
Ethernet3/23              default                              1  --
Ethernet3/24              default                              1  --
Ethernet3/25              default                              1  --
Ethernet3/26              default                              1  --
Ethernet3/27              default                              1  --
Ethernet3/28              default                              1  --
Ethernet3/29              default                              1  --
Ethernet3/30              default                              1  --
Ethernet3/31              default                              1  --
Ethernet3/32              default                              1  --
Ethernet3/33              default                              1  --
Ethernet3/34              default                              1  --
Ethernet3/35              default                              1  --
Ethernet3/36              default                              1  --
Ethernet3/37              default                              1  --
Ethernet3/38              default                              1  --
Ethernet3/39              default                              1  --
Ethernet3/40              default                              1  --
Ethernet3/41              default                              1  --
Ethernet3/42              default                              1  --
Ethernet3/43              default                              1  --
Ethernet3/44              default                              1  --
Ethernet3/45              default                              1  --
Ethernet3/46              default                              1  --
Ethernet3/47              default                              1  --
Ethernet3/48              default                              1  --
mgmt0                     management                           2  --
nx-osv-1# 
